,Return,Volatility,Sharpe Ratio,HDFCBANK.NS,ITC.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS
0,0.20057704729625114,0.19451954793855955,0.7740972508521973,0.32272201164254194,0.027097892051795632,0.09008595777191963,0.47996631415728175,0.08012782437646107
1,0.1827731078688009,0.17847898477351576,0.7439145176519568,0.06508665198565486,0.20731229591957273,0.1375947461218964,0.21829147912253308,0.3717148268503429
2,0.14616020641104144,0.18327898945842502,0.524665738801743,0.3198557104289832,0.2961943660296224,0.007230181418297653,0.06260880942828906,0.3141109326948077
3,0.1903956978077394,0.1797471554211999,0.7810732663821658,0.01721677995794102,0.28820407617445964,0.15980224780074656,0.2326558319247063,0.3021210641421464
4,0.20422644832242967,0.18653842125925466,0.8267811386056645,0.11745864181811362,0.21840236430158144,0.2051252967215266,0.3925339853026871,0.06647971185609121
5,0.18178170578323843,0.17709307798412996,0.7441380955332876,0.21724366616481172,0.2769753211559358,0.07469491222822246,0.25766642955176183,0.1734196708992682
6,0.19058058071453915,0.18208164856773826,0.7720744062916378,0.06837814711174392,0.30235150631332064,0.2084353096976634,0.2667403649570132,0.15409467192025875
7,0.1775281147904514,0.17672947046115048,0.7216007293955268,0.1512122776509604,0.23159590452868023,0.15085592891383054,0.22490192829109273,0.24143396061543612
8,0.15491290936605295,0.1811047759153038,0.5792939961733364,0.24408451573385498,0.13255902704352304,0.14842776652433395,0.14531757844259327,0.3296111122556947
9,0.15009058715572562,0.18804850243528762,0.5322594216891964,0.1707097717772653,0.24090893918199785,0.294442836627831,0.09111725970491587,0.20282119270799007
10,0.1680152856636153,0.18510701947075262,0.6375516498565955,0.2627731005828445,0.20070401082816494,0.21122494972637623,0.23818030562768597,0.0871176332349284
11,0.1625615270048216,0.18478601998265404,0.6091452536040757,0.1535859531191403,0.13801970559344368,0.27248678321263997,0.1769968166093111,0.258910741465465
12,0.17707798709788264,0.17720348988680193,0.7171302731061359,0.27674860940981283,0.16113105737012162,0.019116849723633245,0.2667092924761888,0.27629419102024355
13,0.18236312728034113,0.18556543158022312,0.7132962543355941,0.23872920335886133,0.31553900878425123,0.13792444752449068,0.2784546506310774,0.02935268970131931
14,0.13985064685743154,0.19022218901016893,0.47234577272490685,0.2572876780277822,0.19890870994235738,0.2792386529342756,0.0728427177873542,0.19172224130823065
15,0.18656138491965363,0.17944277606054412,0.7610302733701452,0.07526266776200367,0.3556497009292857,0.13348457996311927,0.21727249510767116,0.21833055623792033
16,0.2083353145787375,0.18005553507797914,0.8793693263034932,0.046700617755491544,0.19558354984064177,0.13097967593405155,0.372120349153375,0.2546158073164401
17,0.17652820164809627,0.2016756765572025,0.6273845404069255,0.03633433255222276,0.2753180545375372,0.4255595279999436,0.2165504271447138,0.04623765776558274
18,0.18702466164718806,0.1766091425384358,0.7758639200536696,0.18245371311919428,0.22160795638056427,0.10784627483358866,0.2923820528140043,0.1957100028526484
19,0.21627111284177808,0.1887022470545923,0.8811294801045756,0.2163704247958266,0.17135310957039954,0.05578994435679589,0.4920766298581223,0.06440989141885567
