Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,ITC.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS,HDFCBANK.NS,ITC.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS,HDFCBANK.NS,ITC.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS,HDFCBANK.NS,ITC.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS,HDFCBANK.NS,ITC.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,1214.0726318359375,188.25421142578125,678.0213012695312,410.0572204589844,1927.3460693359375,1215.4020009564372,188.64953735312275,685.8812621608329,412.08722980719944,1941.839224475285,1206.4763693299599,187.46355957109824,676.1798809122582,407.1774839819601,1915.2533891461273,1211.6987998028196,188.64953735312275,681.7940872944392,408.78260095169367,1927.701647014301,1836849,4208837,14004468,2321850,1354908
2020-01-02,1221.8111572265625,189.63787841796875,689.5643310546875,410.67095947265625,1918.49853515625,1222.998073058335,190.5075883398568,692.101988476081,417.8939281937925,1938.3268729065949,1214.4522790695733,188.25423748077313,679.0993724418228,407.88561791726636,1910.985166593642,1214.4522790695733,188.33329543854936,679.0993724418228,409.77397725947594,1938.3268729065949,3068583,8402979,17710316,4555670,2380752
2020-01-03,1204.387451171875,188.57046508789062,690.3952026367188,419.7822265625,1956.732421875,1220.1496727901679,190.54709470097126,692.4163339145498,425.25845633385285,1976.605260652981,1199.8296472753664,188.17513916527452,684.0398462982779,408.8769356567906,1924.1447521606167,1217.4909345322433,190.54709470097126,688.5312358126702,410.38762867394496,1924.1447521606167,5427775,9284478,20984698,9457180,4655761
2020-01-06,1178.3226318359375,185.88226318359375,674.3833618164062,415.3918151855469,1956.5546875,1198.1204826043333,188.41234680536087,686.24061308061,419.87666816289567,1979.2282977335249,1173.6224910391268,185.80319316925497,672.8113575323056,410.8125384879654,1945.3956712042898,1196.4112772728963,187.7798228838215,682.6924502220958,416.2887684925723,1960.600414310683,5445093,7636617,24519177,4794923,3023209
2020-01-07,1196.98095703125,186.07992553710938,684.758544921875,421.48175048828125,1961.356689453125,1207.2833641486106,188.09607818775967,689.2050219710827,422.99244354948695,1969.1811358232783,1189.0523817800904,185.48693662470865,679.7730555306807,413.12575560624117,1941.750637882457,1195.366797726137,186.633379442472,682.2433138954018,416.76085268080925,1956.5995893045415,7362247,8416741,16683622,4504083,2429317
2020-01-08,1193.8475341796875,185.17066955566406,679.6159057617188,415.5334167480469,2005.2808837890625,1198.4527446857237,186.43571740084664,689.1825505400075,421.5761599747927,2009.5043996733318,1177.4680947739591,184.4195526757577,678.2011257559589,414.4948135026517,1957.977549301324,1184.0197778084457,185.01254159111383,680.4468206782151,418.224334170275,1960.6005315396887,5666055,7043211,16047902,3881918,5197454
2020-01-09,1207.236083984375,186.43572998046875,695.2684326171875,415.2973937988281,1968.9141845703125,1211.4140516901066,187.06825394573914,696.1666866025647,420.01829169624784,2002.3465153490079,1199.3549149960681,185.84274102510108,687.7453456172265,414.494835393452,1965.0462465289331,1201.1590505860172,186.27760200524895,691.0465189588135,417.9883113631722,1999.5012429330038,4773158,9452653,14982742,3934566,3734173
2020-01-10,1217.9654541015625,188.17515563964844,695.1111450195312,418.83807373046875,1968.2032470703125,1221.9535606801956,188.76814457548767,699.7372725509242,423.93663777609686,1986.3865541612104,1210.7490293194219,187.22637575518382,691.5180094774487,415.43902142869183,1963.2683579176153,1219.2948229611068,187.8588996996238,697.0199645467686,415.5334451509223,1981.0515857973037,4607290,9973746,12478359,4334013,1915807
2020-01-13,1221.09912109375,189.1634521484375,693.3370971679688,419.7822265625,1947.5745849609375,1231.0692150062573,190.1517669454513,700.0741816631064,428.32703981923066,1973.004468476015,1211.6037935580287,188.37280031082648,690.9566642441663,417.84664122943343,1942.5506932524613,1217.965616643058,188.57046327022925,693.9434485641472,422.0482516811952,1972.02652127182,3725784,12243639,18282382,4823348,2843893
2020-01-14,1224.4224853515625,192.3260955810547,686.9143676757812,421.1041259765625,1962.2896728515625,1227.3186066129635,192.76095658620267,696.1666227304904,424.4087547678584,1982.6515936189492,1213.0280923122305,188.4123706635067,683.5233692467747,419.59343276629767,1951.7087419030024,1223.9477189749236,189.95413962322053,691.6752332885804,422.04830563121845,1951.7087419030024,3943145,11843444,15816535,2708589,2948452
