Ticker,HDFCBANK.NS,ITC.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS
HDFCBANK.NS,0.0002969300848284464,8.452397011860446e-05,0.00014304121136942647,7.43755201075731e-05,8.458561510555593e-05
ITC.NS,8.452397011860446e-05,0.00026795778876912725,9.591069037995962e-05,7.973861985995499e-05,6.260924565572327e-05
RELIANCE.NS,0.00014304121136942647,9.591069037995962e-05,0.0003498104744684869,9.671645010078286e-05,0.00011272721563515079
SUNPHARMA.NS,7.43755201075731e-05,7.973861985995499e-05,9.671645010078286e-05,0.00025760945757102773,6.90966311294712e-05
TCS.NS,8.458561510555593e-05,6.260924565572327e-05,0.00011272721563515079,6.90966311294712e-05,0.00023743078906342745
